Location,Sex,year,age,px
Colombia,Male,1954,89,0.7247687
Colombia,Male,1954,90,0.70876428
Colombia,Male,1954,91,0.69203206
Colombia,Male,1954,92,0.67443998
Colombia,Male,1954,93,0.65609964
Colombia,Male,1954,94,0.6371915
Colombia,Male,1954,95,0.62265524
Colombia,Male,1954,96,0.6063985
Colombia,Male,1954,97,0.59032593
Colombia,Male,1954,98,0.57450387
Colombia,Male,1954,99,0.55902537
Colombia,Male,1954,100,0
Colombia,Male,1955,0,0.8802251
Colombia,Male,1955,1,0.97456991
Colombia,Male,1955,2,0.98261558
Colombia,Male,1955,3,0.98788999
Colombia,Male,1955,4,0.99137893
Colombia,Male,1955,5,0.99377781
Colombia,Male,1955,6,0.99536418
Colombia,Male,1955,7,0.9963265
Colombia,Male,1955,8,0.99685825
Colombia,Male,1955,9,0.9971447
Colombia,Male,1955,10,0.99736439
Colombia,Male,1955,11,0.9974508
Colombia,Male,1955,12,0.99742377
Colombia,Male,1955,13,0.99726458
Colombia,Male,1955,14,0.99696615
Colombia,Male,1955,15,0.99655538
Colombia,Male,1955,16,0.99606278
Colombia,Male,1955,17,0.99552549
Colombia,Male,1955,18,0.99492631
Colombia,Male,1955,19,0.99428131
Colombia,Male,1955,20,0.99368422
Colombia,Male,1955,21,0.99322955
Colombia,Male,1955,22,0.99299461
Colombia,Male,1955,23,0.99294771
Colombia,Male,1955,24,0.99298963
Colombia,Male,1955,25,0.99308325
Colombia,Male,1955,26,0.99318534
Colombia,Male,1955,27,0.99325675
Colombia,Male,1955,28,0.99330735
Colombia,Male,1955,29,0.99333797
Colombia,Male,1955,30,0.99332787
Colombia,Male,1955,31,0.9932619
Colombia,Male,1955,32,0.99312526
Colombia,Male,1955,33,0.99293983
Colombia,Male,1955,34,0.99273763
Colombia,Male,1955,35,0.99251878
Colombia,Male,1955,36,0.9922788
Colombia,Male,1955,37,0.99201082
Colombia,Male,1955,38,0.99171664
Colombia,Male,1955,39,0.99139572
Colombia,Male,1955,40,0.99104392
Colombia,Male,1955,41,0.99065986
Colombia,Male,1955,42,0.99024031
Colombia,Male,1955,43,0.98978336
Colombia,Male,1955,44,0.98928648
Colombia,Male,1955,45,0.98874165
Colombia,Male,1955,46,0.98813805
Colombia,Male,1955,47,0.98746251
Colombia,Male,1955,48,0.98670708
Colombia,Male,1955,49,0.98586759
Colombia,Male,1955,50,0.98495132
Colombia,Male,1955,51,0.98397604
Colombia,Male,1955,52,0.98295414
Colombia,Male,1955,53,0.9818844
Colombia,Male,1955,54,0.98075018
Colombia,Male,1955,55,0.97952154
Colombia,Male,1955,56,0.97815744
Colombia,Male,1955,57,0.97660531
Colombia,Male,1955,58,0.97482527
Colombia,Male,1955,59,0.97279233
Colombia,Male,1955,60,0.97051096
Colombia,Male,1955,61,0.96802469
Colombia,Male,1955,62,0.96537607
Colombia,Male,1955,63,0.96259608
Colombia,Male,1955,64,0.95968225
Colombia,Male,1955,65,0.95657585999999994
Colombia,Male,1955,66,0.95318926
Colombia,Male,1955,67,0.94940245
Colombia,Male,1955,68,0.94508714
Colombia,Male,1955,69,0.9401806
Colombia,Male,1955,70,0.93470046
Colombia,Male,1955,71,0.92873855
Colombia,Male,1955,72,0.92240015
Colombia,Male,1955,73,0.91579088
Colombia,Male,1955,74,0.90892604
Colombia,Male,1955,75,0.90171252
Colombia,Male,1955,76,0.89402496
Colombia,Male,1955,77,0.88569486
Colombia,Male,1955,78,0.87655088
Colombia,Male,1955,79,0.86649869
Colombia,Male,1955,80,0.85548852
Colombia,Male,1955,81,0.84351796
Colombia,Male,1955,82,0.8306321
Colombia,Male,1955,83,0.81680849
Colombia,Male,1955,84,0.80213563
Colombia,Male,1955,85,0.78697889
Colombia,Male,1955,86,0.77169835
Colombia,Male,1955,87,0.75653326
Colombia,Male,1955,88,0.74139848
Colombia,Male,1955,89,0.72596195
Colombia,Male,1955,90,0.710001
Colombia,Male,1955,91,0.6932251
Colombia,Male,1955,92,0.67544309
Colombia,Male,1955,93,0.65688458
Colombia,Male,1955,94,0.63779224
Colombia,Male,1955,95,0.62287008
Colombia,Male,1955,96,0.6060513
Colombia,Male,1955,97,0.589101
Colombia,Male,1955,98,0.57174319
Colombia,Male,1955,99,0.55393529
